aankondiger	'aN-kOn-d@-G@r
stoelenmatter	'stu-l@-mA-t@r
stoffeerder	stO-'fer-d@r
stopster	'stOp-st@r
storingsmonteur	'sto-rINs-mOn-t2r
strandjutter	'strAnt-jY-t@r
strandwacht	'strAnt-wAxt
stratenmaker	'stra-t@-ma-k@r
stripper	'strI-p@r
stucwerker	'styk-wEr-k@r
studentendecaan	sty-'dEn-t@-de-kan
studieadviseur	'sty-di-At-fi-z2r
stukadoor	sty-ka-'dor
stuntman	'stYnt-mAn
stuurman	'styr-mAn
stuwadoor	sty-wa-'dor
stylist	stAj-'lIst
supervisor	sy-p@r-'vi-zOr
systeemanalist	sis-'tem-a-na-lIst
systeembeheerder	sis-'tem-b@-her-d@r
systeemontwerper	sis-'tem-Ont-wEr-p@r
systeemontwikkelaar	sis-'te-mOnt-wI-k@-lar
systeemprogrammeur	sis-'tem-pro-GrA-m2r
takelaar	'ta-k@-lar
tandarts	'tAnd-Arts
tandartsassistente	'tAnd-Arts-A-si-stEn-t@
tandtechnicus	'tAn-tEx-ni-kYs
tapper	'tA-p@r
taxichauffeur	'tAk-si-So-f2r
technicus	'tEx-ni-kYs
technoloog	tEx-no-'lox
tegelzetter	'te-G@l-zE-t@r
tekenaar	'te-k@-nar
tekstschrijver	'tEkst-sxrE+-v@r
telefoniste	te-l@-fo-'nIs-t@
telegrafist	te-l@-Gra-'fIst
televisieregisseur	te-l@-'vi-zi-re-GI-s2r
telexist	te-lEk-'sIst
tennisser	'tE-n@-s@r
theateragent	te-'ja-t@r-a-GEnt
theatertechnicus	te-'ja-t@r-tEx-ni-kYs
therapeut	te-ra-'pY+t
timmerman	'tI-m@r-mAn
tingieter	tIn-'Gi-t@r
toetsenist	tut-s@-'nIst
tolk	'tOlk
toneelmeester	to-'nel-mes-t@r
toneelschrijver	to-'nel-sxrE+-v@r
toneelspeler	to-'nel-spe-l@r
touringcarchauffeur	'tu-rIN-kAr-xo-f2r
touwslager	'tA+w-sla-G@r
trainee	tre-'ni
trainer	'tre-n@r
traiteur	trE:-'t2r
trambestuurder	'trEm-b@-styr-d@r
treinbestuurder	'trE+m-b@-styr-d@r
treinconducteur	'trE+N-kOn-dYk-t2r
treindienstleider	'trE+n-dins-tlE+-d@r
trendwatcher	'trEnt-wAt-SEr
trompettist	trOm-pE-'tIst
tuinarchitect	'tY+n-Ar-Si-tEkt
tuinbouwkundige	tY+m-bA+w-'kYn-d@-G@
tuinder	'tY+n-d@r
tuinman	'tY+n-mAn
typiste	ti-'pIs-t@
uitbater	'Y+d-ba-t@r
uitgever	'Y+t-xe-v@r
uitvaartbegeleider	'Y+t-fard-be-G@-lE+-d@r
uitvinder	'Y+t-fIn-d@r
uitvoerder	'Y+t-fur-d@r
uroloog	y-ro-'lox
uurwerkmaker	'yr-wErk-ma-k@r
vakkenvuller	'vA-k@n-vY-l@r
veearts	've-Arts
veehouder	've-hA+-d@r
veiligheidsbeambte	'vE+-l@x-hE+dz-b@-Am-t@
veilingmeester	'vE+-lIN-mes-t@r
vergunningverlener	v@r-'GY-nIN-v@r-le-n@r
verhuizer	v@r-'hY+-z@r
verhuurder	v@r-'hyr-d@r
verkeersleider	v@r-'kers-lE+-d@r
verkoopchef	'vEr-kop-SEf
verkoper	v@r-'ko-p@r
verloskundige	v@r-lOs-'kYn-d@-G@
vermogensbeheerder	v@r-mo-G@z-b@-'her-d@r
verpleeghulp	v@r-'plex-hYlp
verpleegkundige	v@r-plex-'kYn-d@-G@
verslaggever	v@r-'slA-Ge-v@r
vertaler	v@r-'ta-l@r
vertegenwoordiger	v@r-te-G@-'wor-d@-G@r
vervoer	v@r-'vur
verwarmingsinstallateur	v@r-'wAr-mINs-In-stA-la-t2r
verwarmingsmonteur	v@r-'wAr-mINs-mOn-t2r
verzekeringsagent	v@r-'ze-k@-rINs-a-GEnt
verzekeringsdeskundige	v@r-'ze-k@-rINz-dEs-kYn-d@-G@
verzekeringsinspecteur	v@r-'ze-k@-rINs-In-spEk-t2r
verzorgende	v@r-'zOr-G@n-d@
verzorgingshuis	v@r-'zOr-GINs-hY+s
vicaris	vi-'ka-r@s
violist	vi-jo-'lIst
vioolbouwer	vi-'jol-bA+-w@r
viroloog	vi-ro-'lox
vis	'vIs
visagiste	vi-za-'ZIs-t@
visser	'vI-s@r
vlees	'vles
vlieger	'vli-G@r
voeger	'vu-G@r
voetballer	'vud-bA-l@r
voorganger	'vor-GA-N@r
voorlichter	'vor-lIx-t@r
voorlichtingsfunctionaris	'vor-lIx-tINs-fYNk-So-na-r@s
voorman	'vor-mAn
voorzitter	'vor-zI-t@r
vormende	'vOr-m@n-d@
vormer	'vOr-m@r
vormgever	'vOrm-Ge-v@r
vrachtwagenchauffeur	vrAxt-'wa-G@-xo-f2r
vuilnisman	'vY+l-nIs-mAn
vuurtorenwachter	'vyr-to-r@n-wAx-t@r
waard	'wart
waardijn	war-'dE+n
waarzegger	'war-zE-G@r
wachtcommandant	'wAxt-kO-mAn-dAnt
wachter	'wAx-t@r
wachtmeester	'wAxt-mes-t@r
wagenmaker	'wa-G@n-ma-k@r
walschipper	'wAl-sxI-p@r
warenhuis	'wa-r@-hY+s
wasser	'wA-s@r
waterbouwkundige	wa-t@r-bA+w-'kYn-d@-G@
waterklerk	'wa-t@r-klErk
webmaster	'wEp-mAs-t@r
weerkundige	wer-'kYn-d@-G@
weger	'we-G@r
werker	'wEr-k@r
werkmeester	'wErk-mes-t@r
werktuigkundige	wErk-tY+x-'kYn-d@-G@
werkvoorbereider	'wErk-for-b@-rE+-d@r
wethouder	'wEt-hA+-d@r
wijkagent	'wE+k-a-GEnt
wijkmeester	'wE+k-mes-t@r
wijkzuster	'wE+k-sYs-t@r
wijnboer	'wE+m-bur
winkelbediende	'wIN-k@l-b@-din-d@
winkelier	wIN-k@-'lir
wiskundige	wIs-'kYn-d@-G@
xylofonist	ksi-lo-fo-'nIst
zaakwaarnemer	'zak-war-ne-m@r
zakenman	'za-k@-mAn
zeeman	'ze-mAn
zeepzieder	'zep-si-d@r
zeilmaker	'zE+l-ma-k@r
zetter	'zE-t@r
zilversmid	'zIl-v@r-smIt
zorgverlener	'zOrx-f@r-le-n@r
zweminstructeur	'zwEm-In-strYk-t2r
