's-gravendeel	sxra-v@n-'del
velsen-zuid	vEl-z@-'zY+t
velserbroek	vEl-z@r-'bruk
venhorst	'vEn-hOrst
venlo	'vEn-lo
venray	'vEn-raj
vessem	'vE-s@m
vianen	vi-'ja-n@
vierlingsbeek	vir-lINz-'bek
vijlen	'vE+-l@
vinkeveen	vIN-k@-'ven
vlaardingen	'vlar-dI-N@
vlagtwedde	'vlAxt-wE-d@
vlieland	'vli-lAnt
vlijmen	'vlE+-m@
vlissingen	'vlI-sI-N@
vlist	'vlIst
vlodrop	'vlo-drOp
voerendaal	'vu-r@-dal
volendam	vo-l@-'dAm
volkel	'vOl-k@l
voorburg	'vor-bYrx
voorhout	vor-'hA+t
voorschoten	'vor-sxo-t@
voorst	'vorst
voorthuizen	'vort-hY+-z@
vorden	'vOr-d@
vriescheloo	'vri-s@-lo
vriezenveen	vri-z@-'ven
vroomshoop	'vroms-hop
vught	'vYxt
vuren	'vy-r@
waalre	'wal-r@
waalwijk	'wal-wE+k
waardenburg	'war-d@-bYrx
waarland	'war-lAnt
waddinxveen	wA-dINks-'fen
wagenborgen	'wa-G@-bOr-G@
wageningen	'wa-G@-nI-N@
wamel	'wa-m@l
wanroij	'wAn-roj
wanssum	'wAn-sYm
wapenveld	'wa-p@n-vElt
warffum	'wAr-fYm
warmenhuizen	'wAr-m@-hY+-z@
warmond	'wAr-mOnt
warnsveld	'wArns-fElt
waspik	'wAs-pIk
wassenaar	'wA-s@-nar
watergraafsmeer	wa-t@r-Grafs-'mer
wateringen	'wa-t@-rI-N@
waterland	'wa-t@r-lAnt
wedde	'wE-d@
weerselo	'wer-s@-lo
weert	'wert
weesp	'wesp
wehl	'wel
well	'wEl
wemeldinge	'we-m@l-dI-N@
wenum-wiesel	'we-nYm-'wi-z@l
werkendam	wEr-k@-'dAm
werkhoven	'wErk-ho-v@
wesepe	'we-z@-p@
west	'wEst
west-terschelling	wEs-tEr-'sxE-lIN
westbeemster	wEzd-'bem-st@r
westerbork	'wEs-t@r-bOrk
westerhaar-vriezenveensewijk	'wEs-t@r-har-vri-z@-ven-s@-'wE+k
westerhoven	'wEs-t@r-ho-v@
westerveld	'wEs-t@r-vElt
westervoort	'wEs-t@r-vort
westkapelle	wEst-kA-'pE-l@
westland	'wEst-lAnt
westmaas	wEst-'mas
weststellingwerf	'wEst-stE-lIN-'wErf
westvoorne	wEst-'for-n@
weurt	'w2rt
wezep	'we-z@p
wierden	'wir-d@
wieringen	'wi-rI-N@
wijchen	'wi-x@
wijhe	'wE+-j@
wijlre	'wE+l-r@
wijnjewoude	'wE+-J@-wA+-d@
willemstad	'wI-l@m-stAt
wilnis	'wIl-nIs
winkel	'wIN-k@l
winschoten	'wIn-sxo-t@
winssen	'wIn-s@
winsum	'wIn-sYm
wintelre	'wIn-t@l-r@
winterswijk	wIn-t@rs-'wE+k
wirdum	'wIr-dYm
wissenkerke	'wI-s@-kEr-k@
woensdrecht	'wunz-drExt
woensel	'wun-s@l
woerden	'wur-d@
wognum	'wOG-nYm
wolphaartsdijk	wOl-fardz-'dE+k
wolvega	'wOl-v@-Ga
wommels	'wO-m@ls
wormer	'wOr-m@r
wormerland	wOr-m@r-'lAnt
wormerveer	wOr-m@r-'ver
woubrugge	wA+-'brY-G@
woudenberg	'wA+-d@m-bErx
woudrichem	'wA+-dri-xEm
wouw	'wA+w
yerseke	'ir-s@-k@
ysselsteyn	'E+-s@l-stE+n
zaandam	zan-'dAm
zaandijk	zan-'dE+k
zaanstad	'zan-stAt
zaltbommel	zAld-'bO-m@l
zandvoort	'zAnt-fort
zeddam	zE-'dAm
zederik	'ze-d@-rIk
zeeland	'ze-lAnt
zeevang	'ze-vAN
zeewolde	ze-'wOl-d@
zegge	'zE-G@
zeist	'zE+st
zelhem	'zEl-hEm
zetten	'zE-t@
zevenaar	'ze-v@-nar
zevenbergen	'ze-v@-bEr-G@
zevenhuizen	'ze-v@-hY+-z@
zierikzee	zi-rIk-'se
zoetermeer	zu-t@r-'mer
zoeterwoude	zu-t@r-'wA+-d@
zuid	'zY+t
zuid-beijerland	zY+d-'bE+-j@r-lAnt
zuid-holland	zY+t-'hO-lAnt
zuid-scharwoude	zY+t-sxAr-'wA+-d@
zuidbroek	'zY+d-bruk
zuidhorn	zY+t-'hOrn
zuidland	'zY+t-lAnt
zuidlaren	zY+t-'la-r@
zuidoost	zY+d-'ost
zuidoostbeemster	zY+t-'ozd-bem-st@r
zuidwest	zY+d-'wEst
zuidwolde	zY+t-'wOl-d@
zuilichem	'zY+-lI-xEm
zundert	'zYn-d@rt
zutphen	'zYt-f@
zwaagwesteinde	zwax-wEst-'E+n-d@
zwartemeer	'zwAr-t@-mer
zwartsluis	'zwArt-slY+s
zwijndrecht	'zwE+n-drExt
zwolle	'zwO-l@
